case,risk,cwap_elec,cwap_h2,cwap_ep,cwap_elec_gc,cwap_h2_gc
SP,RN,106.986,86.0109,216.83,6.10197,127.217
SP,0.2,107.754,76.9474,215.04,5.73279,124.021
SP,0.4,106.86,75.3865,210.947,5.70578,118.2
SP,0.6,105.98,72.1246,207.779,5.61573,113.624
SP,0.8,105.349,69.4606,200.944,5.57543,103.603
ME,RN,106.986,86.0109,216.83,6.10198,127.217
ME,0.2,108.824,82.3068,223.276,5.94936,138.895
ME,0.4,110.837,79.0113,231.863,5.71997,154.422
ME,0.6,112.303,77.3138,237.193,5.56628,164.068
ME,0.8,112.802,76.2575,242.465,5.69269,173.588
